top_comp;bottom_comp;num_pieces;cycles;paths;points;index;fm_dimension;fm_volume;fm_nvolume;fm_ehrhart;fm_fvector;sfm_dimension;sfm_volume;sfm_nvolume;sfm_ehrhart;sfm_fvector
1|1|1|1|1|1|1|1;1|1|1|1|1|1|1|1;8;0;0;8;0;0;1;1;1;(1, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|1|1|1|2;7;0;1;6;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|1|1|2|1;7;0;1;6;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|1|1|3;7;0;1;6;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|1|2|1|1;7;0;1;6;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|1|2|2;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|1|3|1;7;0;1;6;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|1|4;6;0;2;4;2;2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|2|1|1|1;7;0;1;6;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|2|1|2;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|2|2|1;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|2|3;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|3|1|1;7;0;1;6;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|3|2;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|4|1;6;0;2;4;2;2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|1|5;6;0;2;4;2;2;1/2;1;1/2*t^2 + 3/2*t + 1;(1, 3, 3, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|2|1|1|1|1;7;0;1;6;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|2|1|1|2;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|2|1|2|1;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|2|1|3;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|2|2|1|1;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|2|2|2;5;0;3;2;3;3;1;6;t^3 + 3*t^2 + 3*t + 1;(1, 8, 12, 6, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|2|3|1;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|2|4;5;0;3;2;3;3;1/2;3;1/2*t^3 + 2*t^2 + 5/2*t + 1;(1, 6, 9, 5, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|3|1|1|1;7;0;1;6;1;1;1;1;t + 1;(1, 2, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|3|1|2;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
1|1|1|1|1|1|1|1;1|1|3|2|1;6;0;2;4;2;2;1;2;t^2 + 2*t + 1;(1, 4, 4, 1);0;1;1;1;(1, 1)
